target,period_days,t0,duration_days,duration_hours,depth_mean_per_transit,planet_to_star_radius_ratio,impact_parameter,inclination,scaled_semi_major_axis,eccentricity,planet_radius_rjup,stellar_radius,max_ses,max_mes
Kepler-90b,7.00821787,2454970.67164,0.158833,3.812,0.0001164,0.009852,0.156,89.36,14.03,0.0,0.11509,1.2,4.745033,14.816139
Kepler-90c,8.71980135,2454972.52134,0.156058,3.7454,0.0001604,0.011679,0.343,88.84,16.94,0.0,0.13650,1.2,3.9980712,14.123186
Kepler-90i,14.44912,2455644.3488,0.116667,2.80,0.0000874,0.009350,0.50,89.20,33.8,0.0,0.11777,1.02,,
Kepler-90d,59.7371443,2454991.95974,0.333358,8.0006,0.0005664,0.021678,0.005,89.99,58.2791,0.0,0.25337,1.2,9.602684,29.078213
Kepler-90e,91.9401253,2454967.3,0.383125,9.195,0.0004829,0.020017,0.025,89.98,77.89,0.0,0.23375,1.2,9.047234,24.921076
Kepler-90f,124.922516,2454962.7295,0.497583,11.942,0.0004987,0.025738,0.943,88.33,32.3,0.0,0.30066,1.2,9.988667,18.204784
Kepler-90g,210.6013843,2454980.056867,0.499675,11.9922,0.0041593,0.058748,0.002,90.0,142.042,0.0,0.68695,1.2,74.07316,101.80441
Kepler-90h,331.5972732,2454973.498929,0.600167,14.404,0.0083221,0.083115,0.02,89.99,190.456,0.0,0.97155,1.2,183.05147,249.14
