target,period_days,t0,duration_days,duration_hours,depth_mean_per_transit,planet_to_star_radius_ratio,impact_parameter,inclination,scaled_semi_major_axis,eccentricity,planet_radius_rjup,stellar_radius,max_ses,max_mes
Kepler-11b,10.30401132,2454971.50377,0.176025,4.2246,0.00031610000000000004,0.016083,0.017,89.95,18.939,0.0,0.16415380497814258,1.046,7.053083,40.980724
Kepler-11c,13.02493307,2454971.176157,0.19044166666666665,4.5706,0.0007784,0.025235,0.004,89.99,22.327,0.0,0.256936390400571,1.046,17.771702,94.94626
Kepler-11d,22.687155,2454981.455435,0.2288375,5.4921,0.00096,0.028022,0.023,89.96,32.439,0.0,0.2854848782228567,1.046,19.658617,93.95543
Kepler-11e,31.99552485,2454987.160745,0.17840416666666667,4.2817,0.0013761,0.036106,0.69,89.1,44.1,0.0,0.3675617807119279,1.046,22.140804,102.289505
Kepler-11f,46.6856205,2455058.04604,0.26580833333333337,6.3794,0.0005888,0.022055,0.217,89.78,55.84,0.0,0.2248193416004996,1.046,11.762473,40.456486
Kepler-11g,118.3786735,2455120.28744,0.398225,9.5574,0.0010833,0.029761,0.011,89.99,97.44,0.0,0.30332768311178515,1.046,23.928257,57.479816
