target,period_days,t0,duration_days,duration_hours,depth_mean_per_transit,planet_to_star_radius_ratio,impact_parameter,inclination,scaled_semi_major_axis,eccentricity,planet_radius_rjup,stellar_radius,max_ses,max_mes
Kepler-186b,3.886795001,2454966.32959,0.073225,1.7574,0.0004713,0.020036,0.119,89.6,17.13,0.0,0.08653760371130342,0.443,6.8287277,34.24418
Kepler-186c,7.26731094,2455007.31292,0.09454583333333333,2.2691,0.0006591,0.023657,0.043,89.9,25.031,0.0,0.10170398786689266,0.443,6.3864384,38.01624
Kepler-186d,13.3430025,2455009.90387,0.1141625,2.7399,0.0007997000000000001,0.026639,0.517,89.1,33.0,0.0,0.11508609153358909,0.443,8.532464,36.183163
Kepler-186e,22.40777833,2454986.79858,0.13700416666666668,3.2881,0.0006613,0.023714,0.147,89.84,52.75,0.0,0.1025961281113391,0.443,6.397194,23.637213
Kepler-186f,129.945392,2455009.82285,0.24108333333333332,5.786,0.0005001000000000001,0.024432,0.909,89.36,81.1,0.0,0.10527254884467838,0.443,4.400979,7.6691337
